nsd_Id,v_coco_id
64761,343159
71455,391179
36703,376751
67369,233901
9747,282847
65479,226613
25540,71313
47684,419571
49721,165546
54060,74103
47865,420298
65750,489827
39559,125746
538,47801
16890,304248
57167,456708
62568,215380
46958,154567
8768,17869
41287,132509
19781,139555
49317,426064
27348,340406
71233,511127
5114,350614
67191,233188
5467,269815
19156,532449
53338,441905
31669,94664
65259,487925
10088,283937
56265,190991
53892,181837
47023,154798
37398,117250
32106,358534
13954,295265
46783,416059
5066,6380
70397,78016
5498,532055
48068,26483
50795,431991
42720,400062
54240,311615
6832,536241
70430,508045
11933,354070
66487,492608
62654,477867
62961,479035
4758,5476
26164,335824
65296,488069
57543,338501
14955,560384
43733,141825
65822,227928
50275,429913
41416,395182
51365,28692
15491,562062
26980,318637
51092,171016
45613,411408
55702,451018
3172,625
6256,10149
19329,49502
38997,123462
14429,558766
7818,2498
2344,80273
26984,76822
974,363188
35955,111416
52110,437129
28596,345149
42276,136302
21728,319073
66393,492271
38974,123359
18804,572229
49585,164955
63651,219629
28752,345751
6907,532877
59174,464537
1636,191672
13761,294716
61777,212309
28829,538273
59298,202853
72696,254795
16631,41279
40649,414868
10161,284150
14148,33667
6512,535251
46985,154667
70665,246735
42633,399790
1797,209829
67941,236141
70962,510078
38015,119640
67802,497668
27037,77003
56868,193373
37818,381065
42350,398704
23696,64379
72529,516339
56241,453037
69036,502517
51764,378471
59740,204549
13595,556363
68016,236432
20746,315939
29542,86715
34661,106314
632,485071
71675,512944
5867,318445
6719,99046
23559,63881
41345,394905
14091,295646
41856,134754
16645,565612
11303,549746
47972,158507
32239,359105
12752,441840
6305,272479
191,280710
67906,235994
64942,486774
16807,41854
12095,552001
34693,368586
39321,44476
31876,95476
30114,451732
10685,23639
46842,154154
44830,408331
10990,568205
24818,330665
54934,448113
55995,293811
8648,541859
24476,329469
68939,502202
43,490171
46496,243914
54607,446846
40742,130262
36144,374342
36058,111788
9253,543547
30352,408187
48694,423529
46351,414289
64963,224693
56900,193474
40971,131152
17795,569196
63702,219841
3151,564
16090,39664
14810,35671
25761,334301
25837,12081
57414,195568
30302,351793
54684,447130
663,427655
26718,100012
12119,552052
25915,72770
19316,573750
47817,420090
13028,554674
63506,219037
67111,495022
4386,528595
61678,474024
13799,556966
31902,357743
25880,334769
25931,186899
4269,528224
31975,95864
55296,449480
730,7977
15067,36420
42962,138834
17062,566931
48678,423464
69145,240762
7897,539529
47550,419076
20082,576063
17708,44627
3050,262414
1799,378244
40916,393095
23611,326190
60148,468249
54176,445030
62226,476198
44776,408078
36826,115117
33530,101985
56775,455123
72681,348291
51006,170716
20446,52870
40497,519320
63199,217822
35663,367905
56092,556018
56209,452917
14234,33897
19585,574590
13754,32549
21527,318444
17250,269346
71065,510434
55476,450175
11248,287402
42697,399983
22696,322719
24821,330677
17210,356708
16301,302470
69125,502844
43951,404823
38170,382383
37980,119494
45146,409556
51984,174504
56962,193714
2365,22935
65405,299869
8450,541290
3995,190645
53744,181305
4210,3770
18820,47981
49552,164835
39658,126098
34539,105879
9982,545756
2422,408120
70502,508299
9977,283604
6833,536244
32688,360857
3140,531
16482,40874
645,67310
39484,387605
54171,445008
39833,388955
44019,142934
28510,344878
34545,368040
53243,441472
47032,154816
47294,419212
71249,249046
14832,35725
20802,578231
15677,562614
3726,526654
31783,357228
19455,49893
64657,485742
45957,412756
18483,46990
51415,434486
67760,497514
9637,282557
47113,155191
47166,113282
63459,481010
60611,122029
60245,53347
70093,506717
19383,573980
15104,560804
35492,193025
31588,94350
63635,219565
69880,505861
13010,292482
47269,418042
63142,217622
9401,19667
67494,496496
55902,451842
63112,479633
52945,440387
4507,4700
50171,43829
7067,536977
11737,48145
15,558114
51086,433136
44165,405648
1760,37689
887,2473
4633,5083
8751,279974
66774,235479
43834,404373
59423,203275
55790,189248
70464,246040
68859,501926
5092,530762
26173,335859
25582,333629
10843,484614
27084,339336
47598,419262
1907,341196
9025,18605
35938,373500
58088,251466
20262,576625
6714,535871
44808,408239
16283,181474
9059,542982
39274,386796
2400,23034
49189,158302
41563,395742
63850,482539
55406,449914
19965,8571
52371,438126
30463,352361
26816,338317
31339,355569
59983,467594
10766,286036
42549,137297
25065,69544
43372,110779
69503,242133
26070,73333
19525,574404
49327,163962
43631,403567
64334,484414
10007,283678
14074,295578
64911,224477
3637,264279
34651,368421
12700,29456
65317,226008
53814,443688
34303,104953
46245,151739
27591,341318
9689,282680
61575,473607
33769,541440
1931,242946
48531,160735
47261,419193
43344,402396
40433,391225
69480,504224
25648,492548
64717,485943
53475,180283
16065,39606
30088,88854
48264,421833
52522,438728
44908,408664
68086,301604
62267,214199
19268,49327
61624,473801
15716,300624
58979,463678
31251,93075
53294,179578
57479,195768
56395,556192
9856,21070
46380,152326
32488,97946
68692,501225
28274,81809
71813,251370
49907,428457
19852,313249
53857,443834
14397,34378
57287,457190
68210,499396
5249,565684
72430,253838
68953,240102
47469,156636
44392,144383
11654,550787
62545,215291
59557,203781
59951,467479
20974,54442
41655,396106
68786,501647
8466,279197
1335,323263
46376,152286
69724,505213
21141,579294
29593,86878
1699,414385
56430,191585
47330,156125
7853,539372
21068,54750
6496,273059
18632,342013
64806,486250
54640,446956
7551,276336
19470,312078
35296,108879
25207,332273
19696,312783
63351,480624
45524,411086
25579,333615
67219,495438
7836,15032
31918,321776
65255,487898
20148,51985
13852,557107
4509,266847
43437,460346
4373,4275
64127,221560
13947,557396
17186,567308
7673,276711
34577,106001
34274,366967
8480,541391
91,566282
6503,273086
59313,465058
12916,554381
1855,450559
23533,325885
34740,106664
50980,170601
66747,287038
7288,13379
26223,73903
46357,152202
8519,17206
68170,499239
57658,458543
48639,423290
22385,9885
56613,454457
60804,208621
61340,472654
46306,151965
3051,524333
3320,1108
14568,559145
25206,332261
65794,227825
25620,361460
584,378454
38140,382288
59421,298139
1007,199442
60841,208786
48325,422100
2244,79969
40911,240275
68964,502288
31274,539819
38279,120655
34968,107584
36248,374848
26632,75494
48620,201607
6080,271759
67444,496307
38018,381789
50426,430555
23834,288841
15033,560620
23366,54205
6528,273155
21677,56724
41308,437332
71461,249953
67133,495100
1784,283520
39612,388085
47201,417700
